#SampleID,sequences_split_libraries,observations_closed_ref_greengenes,observations_closed_ref_silva,observations_open_ref_greengenes,observations_deblur_90bp,observations_deblur_100bp,observations_deblur_150bp
1747.slasher.29.101112,86888,72542,72223,82572,52903,53162,45762
1747.slasher.31.101112,25891,17241,17470,19251,13089,12667,10247
1747.slasher.33.101112,80948,48109,47775,57909,35807,35838,31160
1747.slasher.35.101112,65635,54277,54021,62243,39793,39969,34867
1747.szelma.992677.fecal,45902,41727,29897,44638,33367,32793,28208
1747.Teman.72612.saliva1,47172,35370,36046,42083,28117,28290,22290
1747.Teman.72612.saliva2,67417,54066,55261,63348,42649,42700,35043
1747.v.indicus.58.oral,85483,27643,27525,80147,58215,56575,48748
1748.4.24.12.FR.14.D,234646,216897,217635,232778,143436,136735,0
1748.5.15.12.FI.10.D,108079,102493,103230,105931,60400,59009,0
1748.5.15.12.FI.10.V,85482,70510,71164,75343,40926,40108,0
1748.5.15.12.FI.11.D,42829,21822,22030,26678,14927,14559,0
1748.5.15.12.FI.11.V,72697,23262,23086,29358,17028,16489,0
1748.5.15.12.FI.13.D,66236,40955,41243,46136,26650,26044,0
1748.5.15.12.FI.15.D,71416,34627,34963,41365,23962,23213,0
1748.5.15.12.FI.16.V,63680,21923,22058,29610,14493,13819,0
1748.5.15.12.FI.17.D,101121,68291,68763,74248,42092,40911,0
1748.5.15.12.FI.18.D,129305,75307,76092,81745,56322,54393,0
1748.5.15.12.FI.19.V,163364,41493,41979,47097,28267,27094,0
1748.5.15.12.FI.20.V,200282,88464,88855,95530,57975,55581,0
1748.5.15.12.FI.21.V,97572,60675,61027,64541,40857,39145,0
1748.5.15.12.FI.25.V,157505,48986,49364,80731,34767,33405,0
1748.5.15.12.FI.5.V,168452,134598,135334,162304,81494,78609,0
1748.5.15.12.FI.9.V,92930,75497,76118,80426,44107,42763,0
1748.5.18.12.R.10.V,56421,34887,35022,52581,22217,21369,0
1748.5.18.12.R.13.D,32784,30208,30276,32317,21921,21260,0
1748.5.18.12.R.13.V,94288,91069,91560,93765,58055,55661,0
1748.5.18.12.R.5.V,40823,35493,35727,36581,23461,22626,0
1748.5.18.12.R.8.D,137541,130855,131536,136034,79343,75781,0
1748.5.30.12.P.13.V,118321,108259,109273,117071,72725,71973,0
1748.5.30.12.P.14.D,95936,85553,86434,94835,60807,59870,0
1748.5.30.12.P.22.D,292915,273794,275633,290833,179303,179226,0
1748.5.30.12.P.4.D,121844,118135,118613,121222,80519,78397,0
1748.6.15.12.I.10.V,88690,85196,85385,88246,57251,56022,0
1748.6.15.12.I.5.D,128011,123753,124072,127372,80996,79470,0
1748.6.15.12.I.6.V,146519,133456,134332,145465,90883,88918,0
1748.BALNK8,50148,49120,49161,49912,34204,32865,0
1773.Zono.capensis2.gizz,29063,18001,19432,27317,14925,14421,1893
1773.Zono.capensis2.ugi,25532,11489,13115,24883,12968,12851,1734
1773.Salt.max4.gizz,32617,28921,29181,32221,17002,16583,1945
1773.Salt.max4.ugi,26012,11777,14182,25575,13076,12907,1883
1773.Rhamp.carbo3.gizz,40516,33896,34502,39879,22801,22484,2308
1773.Rhamp.carbo3.ugi,38424,25663,26889,37808,20330,19867,2899
1773.Columb.passer1.crop,70587,47544,55163,69782,46263,45102,6771
1773.Columb.passer1.ugi,27574,26093,26213,27399,18458,17945,3359
1773.Columb.passer2.crop,49841,11643,11983,48982,31415,30771,3820
1773.Columb.passer2.ugi,57493,20684,21815,56570,36044,35040,4445
1773.Columb.passer3.gizz.ugi,79237,28145,31941,78155,49077,48327,5936
1773.Salt.max1.gizz,47044,36651,37814,45171,28145,26696,4008
1773.Columb.passer4.crop,72544,25112,27791,71158,43055,42625,5176
1773.Columb.passer4.gizz,31307,14186,16202,30818,16325,16105,2220
1773.Columb.passer5.gizz,80807,24381,27150,78709,43314,42891,4873
1773.Columb.passer5.ugi,55007,22463,26023,53953,32314,32150,4051
1773.Columb.passer6.crop,62163,21810,22480,61350,39491,38721,4749
1773.Columb.passer6.gizz,38256,15057,16521,37576,21184,20962,2740
1773.Columb.passer6.lgi,49885,29428,31329,49260,31478,30793,3938
1773.Columb.passer7.gizz,35681,19916,21232,35170,17010,16877,2190
1773.Columb.passer7.ugi,36782,24763,25983,36105,19820,19895,2494
1773.Salt.max1.lgi,32499,29789,29787,32251,22501,22048,4700
1773.Columb.passer8.crop,64419,24982,28909,63624,40108,39231,4687
1773.Columb.passer8.gizz,79183,31236,32444,77869,48061,48382,5045
1773.Columb.passer8.lgi,32200,24134,25002,31726,19255,18962,3207
1773.Columb.passer9,46342,17997,19775,45566,27574,27048,3458
1773.Platy.flav1.gizz,31205,29720,29817,30982,21672,21231,2556
1773.Platy.flav1.ugi,33337,29262,29794,33048,21823,21347,2688
1773.Columb.passer10.crop,206437,110571,113914,204545,130239,127326,14737
1773.Columb.passer10.gizz,194446,104189,109054,191586,117263,115998,13946
1773.Columb.passer10.ugi,160394,95050,104826,158215,86451,87067,11093
1773.Thraupis.gauco1.gizz,149372,138972,139735,148095,99934,97874,11689
1773.Thraupis.gauco1.ugi,149307,123498,125366,147647,92913,90532,16786
1773.Thraupis.palm1.gizz,142621,70871,81601,140759,74043,74388,10493
1773.Thraupis.palm1.ugi,159032,102076,110381,157009,91492,90167,14910
1773.Chirox.lance1.ugi,133110,66839,72310,130333,67352,67038,9350
1773.Chirox.lance2.gizz,145377,69188,77466,141783,75156,75441,10563
1773.Chirox.lance2.ugi,151320,130522,132708,148570,95903,94070,11640
1773.Platy.flav2.gizz,37826,30254,31043,36964,20879,19494,2352
1773.Thraupis.gauco2,147351,40458,46852,145759,79486,78369,12539
1773.Rhamp.carbo1.ugi,25820,24399,24509,25639,17472,16848,3151
1773.Platy.flav2.ugi,31424,15041,17095,30963,16010,15856,2288
1773.Thraupis.gauco3.gizz,115392,94594,96375,114266,72296,70873,13422
1773.Thraupis.gauco3.lgi,170999,111077,117898,169023,94922,94049,12796
1773.Chirox.lance3.gizz,141816,84126,94160,129187,72590,72085,10052
1773.Salt.max2.gizz,34521,31835,32033,34236,23209,22666,3443
1773.Salt.max2.ugi,30894,20055,21509,30488,17366,17045,2536
1773.Turdus.oliv1.gizz,36387,33084,33426,36022,24143,23392,3736
1773.Turdus.oliv1.ugi,36761,31470,32203,36396,23512,22978,3867
1773.Rhamp.carbo2.gizz,31734,22806,23875,31235,18197,17820,2851
1773.Columb.talpa1.crop,72250,31161,32544,71412,45890,45313,5571
1773.Columb.talpa1.gizz,45414,15445,16555,43971,19098,18790,2341
1773.Columb.talpa1.ugi,49124,27545,29335,48091,26461,25427,3206
1773.Columb.talpa2.crop,34350,30045,30083,33894,20783,21141,3677
1773.Rhamp.carbo2.ugi,33110,28252,28675,32683,21049,20423,3463
1773.Columb.talpa2.gizz,35287,17426,18715,34124,13463,13687,2199
1773.Columb.talpa2.ugi,31362,19475,20047,30474,14017,14230,2083
1773.Columb.talpa3.gizz,29453,13758,15388,28668,12996,12933,1834
1773.Columb.talpa4.crop,59288,42246,45474,58357,36780,36004,5761
1773.Rhamp.carbo2.lgi,29948,16858,18427,29537,16012,15821,2331
1773.Columb.talpa4.gizz,38807,24069,26034,37993,19747,19588,3104
1773.Columb.talpa4.ugi,37447,19982,21325,36332,16424,16115,2692
1773.Columb.talpa4.lgi,42372,18427,20026,40860,16540,16269,2638
1773.Columb.talpa5.crop,65199,34909,37736,64450,40785,40847,4964
1773.Columb.talpa5.gizz,28195,14508,16512,27607,14028,14051,1890
1773.Columb.talpa6.crop,60604,45291,45813,59984,37883,37850,5482
1773.Salt.max3.gizz,37458,33760,34043,37095,19383,18946,2342
1773.Salt.max3.ugi,24838,11082,13032,24444,11900,11959,1672
1773.Zono.capensis1.gizz,44180,26098,27831,42197,19344,19546,2554
1773.Zono.capensis1.ugi,28511,13526,15856,28109,14527,14529,2049
1773.Zono.capensis1.lgi,34492,17825,19786,33748,17901,17912,2274
1774.10BI,42330,37626,38219,41632,21412,20353,0
1774.10Fecal22.10.09,58051,52101,53381,57260,34725,33220,0
1774.12Fecal23.10.09,50027,40707,41866,48164,26242,26681,0
1774.139.Oral.Puer,26217,20577,20669,24275,12543,11814,0
1774.16.Inte.Puer,21800,19971,20248,21568,12013,11304,0
1774.165.Inte.Puer,32156,29851,30054,31947,20221,18917,0
1774.16Oral22.10.09,47069,43958,44206,46648,26038,24296,0
1774.208.Skin.Puer,65520,61845,62213,64886,39636,35850,0
1774.20BI22.10.09,27168,22505,22898,25609,11749,11179,0
1774.227.Oral.Puer,30930,29455,29596,30643,18107,16685,0
1774.241.Skin.Puer,68380,60721,61987,65939,34935,31923,0
1774.257.Skin.Puer,22644,20415,20701,22203,12561,12006,0
1774.276.Oral.Puer,32743,31392,31541,32468,21816,20336,0
1774.305.Skin.Puer,30810,24221,24453,29064,16482,15041,0
1774.314.Vagi.Puer,40026,36248,37410,39539,23704,22441,0
1774.34.Oral.Puer,73106,67108,67712,71649,42923,40469,0
1774.34BI23.10.09,34354,30535,31230,33601,15686,15298,0
1774.357.Inte.Puer,61551,59640,59643,61228,44687,42894,0
1774.35Fecal23.10.09,42355,38603,39069,42000,24517,22645,0
1774.375.Oral.Puer,38097,36733,36873,37945,23094,22054,0
1774.42BI23.10.09,42478,37240,38224,41460,19317,18519,0
1774.459.Skin.Puer,61143,57112,58709,60715,38661,36736,0
